corpus,run,gt_id,role,value,outcome,pred_field
dev_production_line,1,RULE-ST01-01,critLo,105.0,missing,
dev_production_line,1,RULE-ST01-01,warnLo,112.0,in-text,rule
dev_production_line,1,RULE-ST01-01,warnHi,128.0,in-text,rule
dev_production_line,1,RULE-ST01-01,critHi,135.0,missing,
dev_production_line,1,RULE-ST01-02,critLo,15.0,missing,
dev_production_line,1,RULE-ST01-02,warnLo,18.0,missing,
dev_production_line,1,RULE-ST01-02,warnHi,26.0,in-text,rule
dev_production_line,1,RULE-ST01-02,critHi,30.0,missing,
dev_production_line,1,RULE-ST01-03,critLo,3.0,in-text,rule
dev_production_line,1,RULE-ST01-03,warnLo,3.3,in-text,rule
dev_production_line,1,RULE-ST01-03,warnHi,4.2,missing,
dev_production_line,1,RULE-ST01-03,critHi,4.8,missing,
dev_production_line,1,RULE-ST02-01,critLo,165.0,missing,
dev_production_line,1,RULE-ST02-01,warnLo,175.0,in-text,rule
dev_production_line,1,RULE-ST02-01,warnHi,195.0,in-text,rule
dev_production_line,1,RULE-ST02-01,critHi,210.0,missing,
dev_production_line,1,RULE-ST02-02,critLo,165.0,missing,
dev_production_line,1,RULE-ST02-02,warnLo,175.0,missing,
dev_production_line,1,RULE-ST02-02,warnHi,195.0,missing,
dev_production_line,1,RULE-ST02-02,critHi,210.0,in-text,rule
dev_production_line,1,RULE-ST02-04,critLo,9.5,missing,
dev_production_line,1,RULE-ST02-04,warnLo,11.0,missing,
dev_production_line,1,RULE-ST02-04,warnHi,13.5,missing,
dev_production_line,1,RULE-ST02-04,critHi,15.0,missing,
dev_production_line,1,RULE-ST03-01,critLo,1.5,missing,
dev_production_line,1,RULE-ST03-01,warnLo,1.8,in-text,rule
dev_production_line,1,RULE-ST03-01,warnHi,2.6,in-text,rule
dev_production_line,1,RULE-ST03-01,critHi,3.0,missing,
dev_production_line,1,RULE-ST03-02b,critLo,100.0,slot-bound,crit_lo
dev_production_line,1,RULE-ST03-02b,warnLo,110.0,slot-bound,warn_lo
dev_production_line,1,RULE-ST03-02b,warnHi,130.0,slot-bound,warn_hi
dev_production_line,1,RULE-ST03-02b,critHi,140.0,slot-bound,crit_hi
dev_production_line,1,RULE-ST03-03,critLo,1.5,missing,
dev_production_line,1,RULE-ST03-03,warnLo,1.8,missing,
dev_production_line,1,RULE-ST03-03,warnHi,2.6,missing,
dev_production_line,1,RULE-ST03-03,critHi,3.0,missing,
dev_production_line,1,RULE-ST04-01,critLo,0.01,missing,
dev_production_line,1,RULE-ST04-01,warnLo,0.02,missing,
dev_production_line,1,RULE-ST04-01,warnHi,0.2,missing,
dev_production_line,1,RULE-ST04-01,critHi,0.35,missing,
dev_production_line,1,RULE-ST04-02,critLo,0.01,missing,
dev_production_line,1,RULE-ST04-02,warnLo,0.02,missing,
dev_production_line,1,RULE-ST04-02,warnHi,0.2,missing,
dev_production_line,1,RULE-ST04-02,critHi,0.35,in-text,rule
dev_production_line,1,RULE-ST04-03,critLo,1.25,missing,
dev_production_line,1,RULE-ST04-03,warnLo,1.0,in-text,rule
dev_production_line,1,RULE-ST04-03,warnHi,1.4,missing,
dev_production_line,1,RULE-ST04-03,critHi,1.6,missing,
dev_production_line,1,RULE-SRV01-01,critLo,16.0,missing,
dev_production_line,1,RULE-SRV01-01,warnLo,18.0,missing,
dev_production_line,1,RULE-SRV01-01,warnHi,25.0,in-text,rule
dev_production_line,1,RULE-SRV01-01,critHi,28.0,missing,
dev_production_line,1,RULE-SRV01-02,critLo,16.0,missing,
dev_production_line,1,RULE-SRV01-02,warnLo,18.0,missing,
dev_production_line,1,RULE-SRV01-02,warnHi,25.0,missing,
dev_production_line,1,RULE-SRV01-02,critHi,28.0,in-text,rule
dev_production_line,1,RULE-WRH01-01b,critLo,-1.0,missing,
dev_production_line,1,RULE-WRH01-01b,warnLo,0.5,in-text,rule
