run_id,source_file,doc_type,total_rules,retry_count,duration_sec,prompt_tokens,completion_tokens,total_tokens
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,31,2,484.93,36578,31833,68411
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,26,0,247.91,14855,11921,26776
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,11,2,159.55,18651,11106,29757
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,23,1,228.44,18399,14966,33365
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,29,1,346.6,25303,21126,46429
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,21,0,215.08,14300,10743,25043
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,19,2,227.47,23356,15474,38830
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,29,1,273.98,19800,16779,36579
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,29,0,216.49,15341,12001,27342
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,21,0,208.84,14840,10315,25155
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,11,0,71.62,8015,4476,12491
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,19,0,114.42,9887,6827,16714
agentic_s42_run1,SOP_001_OperatingProcedures.txt,matrix,18,1,148.11,16324,8291,24615
agentic_s42_run1,SOP_001_OperatingProcedures.txt,matrix,10,2,84.13,16714,3915,20629
agentic_s42_run1,SOP_001_OperatingProcedures.txt,matrix,1,2,36.06,13014,1734,14748
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,30,0,208.68,15055,11428,26483
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,22,0,213.9,14994,10254,25248
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,8,0,60.29,7087,3539,10626
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,29,0,239.08,14988,11939,26927
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,22,0,226.46,15140,10487,25627
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,8,0,64.35,7145,3524,10669
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,19,0,113.87,9279,6665,15944
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,29,1,356.01,26498,20530,47028
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,22,0,231.44,15140,10487,25627
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,11,0,78.64,8064,4472,12536
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,19,0,126.32,9225,6555,15780
ablation_s42_run1_no_routing_judge_validator_normalizer,SOP_001_OperatingProcedures.txt,narrative,29,0,51.49,1967,3872,5839
ablation_s42_run1_no_routing_judge_validator_normalizer,SOP_002_AlarmThresholds.txt,narrative,88,0,161.49,2554,11918,14472
ablation_s42_run1_no_routing_judge_validator_normalizer,SOP_003_MaintenanceRules.txt,narrative,11,0,24.05,1412,1544,2956
ablation_s42_run1_no_routing_judge_validator_normalizer,SOP_004_PersonnelZoneAccess.txt,narrative,20,0,36.66,1257,2199,3456
ablation_s42_run1_no_routing,SOP_001_OperatingProcedures.txt,narrative,29,0,202.75,14989,11295,26284
ablation_s42_run1_no_routing,SOP_002_AlarmThresholds.txt,narrative,33,0,307.89,16826,20044,36870
ablation_s42_run1_no_routing,SOP_003_MaintenanceRules.txt,narrative,11,0,71.78,8073,4476,12549
ablation_s42_run1_no_routing,SOP_004_PersonnelZoneAccess.txt,narrative,20,0,101.83,9769,6507,16276
ablation_s42_run1_no_judge,SOP_001_OperatingProcedures.txt,narrative,29,0,203.25,11174,11815,22989
ablation_s42_run1_no_judge,SOP_002_AlarmThresholds.txt,tabular,22,0,217.84,10632,10466,21098
ablation_s42_run1_no_judge,SOP_003_MaintenanceRules.txt,narrative,8,0,49.06,5116,3503,8619
ablation_s42_run1_no_judge,SOP_004_PersonnelZoneAccess.txt,matrix,19,0,101.16,6263,6531,12794
ablation_s42_run1_no_validator,SOP_001_OperatingProcedures.txt,narrative,29,0,137.81,11369,8573,19942
ablation_s42_run1_no_validator,SOP_002_AlarmThresholds.txt,tabular,27,0,164.74,11610,7975,19585
ablation_s42_run1_no_validator,SOP_003_MaintenanceRules.txt,narrative,11,0,45.39,6369,3029,9398
ablation_s42_run1_no_validator,SOP_004_PersonnelZoneAccess.txt,matrix,19,0,75.67,6927,4530,11457
ablation_s42_run1_no_normalizer,SOP_001_OperatingProcedures.txt,narrative,30,1,257.22,21708,16977,38685
ablation_s42_run1_no_normalizer,SOP_002_AlarmThresholds.txt,tabular,22,0,142.86,10674,7164,17838
ablation_s42_run1_no_normalizer,SOP_003_MaintenanceRules.txt,narrative,11,0,41.03,5599,3006,8605
ablation_s42_run1_no_normalizer,SOP_004_PersonnelZoneAccess.txt,matrix,19,0,97.05,6291,4668,10959
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,29,0,129.77,11980,8054,20034
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,168.41,12215,8006,20221
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,11,0,48.68,6988,3038,10026
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,19,0,51.44,7542,2827,10369
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,24,2,283.61,23733,18309,42042
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,153.57,11726,7809,19535
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,11,2,105.14,14430,8044,22474
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,22,1,136.34,10202,8200,18402
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,24,1,176.66,17634,10698,28332
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,142.52,11726,7809,19535
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,11,1,140.82,10585,9151,19736
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,14,1,198.7,9694,11071,20765
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,24,2,204.33,24044,14482,38526
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,155.49,11726,7809,19535
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,11,1,151.44,10867,8216,19083
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,13,0,46.36,6049,2852,8901
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,24,2,234.54,24169,14716,38885
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,149.91,11726,7809,19535
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,8,1,61.93,9675,4251,13926
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,13,0,42.6,6053,2857,8910
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,29,0,278.29,13192,13714,26906
agentic_s42_run1,SOP_002_AlarmThresholds.txt,narrative,36,0,211.24,14589,17443,32032
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,11,2,90.73,18363,7004,25367
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,26,1,153.42,21549,11529,33078
agentic_s42_run1,SOP_002_AlarmThresholds.txt,narrative,31,2,283.81,32882,24079,56961
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,11,1,66.1,13270,4873,18143
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,3,0,471.17,13284,20367,33651
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,29,0,234.71,13373,12225,25598
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,177.45,13586,7818,21404
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,29,0,284.73,13575,14179,27754
agentic_s42_run1,SOP_002_AlarmThresholds.txt,narrative,36,0,257.1,14913,17440,32353
agentic_s42_run1,SOP_003_MaintenanceRules.txt,narrative,11,0,66.49,8239,3047,11286
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,25,0,397.49,13462,16774,30236
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,174.2,13569,7629,21198
agentic_s42_run1,SOP_003_MaintenanceRules.txt,mixed,8,0,60.78,7275,2044,9319
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,20,0,71.95,8516,4212,12728
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,29,0,140.42,14004,7729,21733
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,155.16,13783,7588,21371
agentic_s42_run1,SOP_003_MaintenanceRules.txt,mixed,11,0,75.44,8426,2924,11350
agentic_s42_run1,SOP_004_PersonnelZoneAccess.txt,matrix,21,0,72.29,8879,4407,13286
agentic_s42_run1,SOP_001_OperatingProcedures.txt,narrative,28,0,146.2,14213,7699,21912
agentic_s42_run1,SOP_002_AlarmThresholds.txt,tabular,27,0,143.45,13909,7662,21571
agentic_s42_run1,SOP_003_MaintenanceRules.txt,mixed,11,0,103.06,8468,2952,11420
